"afg","Afghanistan","Asia"
"ala","Aland Islands (Finland)","Europe"
"alb","Albania","Europe"
"dza","Algeria","Africa"
"asm","American Samoa","Oceania"
"and","Andorra","Europe"
"ago","Angola","Africa"
"aia","Anguilla","Americas"
"atg","Antigua and Barbuda","Americas"
"arg","Argentina","Americas"
"arm","Armenia","Asia"
"abw","Aruba (The Netherlands)","Americas"
"aus","Australia","Oceania"
"aut","Austria","Europe"
"aze","Azerbaijan","Asia"
"azo","Azores Islands (Portugal)","Europe"
"bhs","Bahamas (the)","Americas"
"bhr","Bahrain","Asia"
"bgd","Bangladesh","Asia"
"brb","Barbados","Americas"
"blr","Belarus","Europe"
"bel","Belgium","Europe"
"blz","Belize","Americas"
"ben","Benin","Africa"
"bmu","Bermuda","Americas"
"btn","Bhutan","Asia"
"bol","Bolivia","Americas"
"bih","Bosnia and Herzegovina","Europe"
"bwa","Botswana","Africa"
"bra","Brazil","Americas"
"vgb","British Virgin Islands","Americas"
"brn","Brunei Darussalam","Asia"
"bgr","Bulgaria","Europe"
"bfa","Burkina Faso","Africa"
"bdi","Burundi","Africa"
"khm","Cambodia","Asia"
"cmr","Cameroon","Africa"
"can","Canada","Americas"
"cai","Canary Islands (Spain)","Africa"
"cpv","Cape Verde","Africa"
"cym","Cayman Islands","Americas"
"caf","Central African Republic (the)","Africa"
"tcd","Chad","Africa"
"chi","Channel Islands","Europe"
"chl","Chile","Americas"
"chn","China","Asia"
"hkg","China - Hong Kong (Special Administrative Region)","Asia"
"mac","China - Macau (Special Administrative Region)","Asia"
"twn","China - Taiwan Province","Asia"
"cxr","Christmas Island (Australia)","Asia"
"cck","Cocos (Keeling) Islands (Australia)","Asia"
"col","Colombia","Americas"
"com","Comoros (the)","Africa"
"cog","Congo (the)","Africa"
"cok","Cook Islands","Oceania"
"cri","Costa Rica","Americas"
"civ","Côte d'Ivoire","Africa"
"hrv","Croatia","Europe"
"cub","Cuba","Americas"
"cyp","Cyprus","Asia"
"cze","Czech Republic (the)","Europe"
"prk","Democratic People's Republic of Korea (the)","Asia"
"cod","Democratic Republic of the Congo (the)","Africa"
"dnk","Denmark","Europe"
"dji","Djibouti","Africa"
"dma","Dominica","Americas"
"dom","Dominican Republic (the)","Americas"
"eai","Easter Island (Chile)","Americas"
"ecu","Ecuador","Americas"
"egy","Egypt","Africa"
"slv","El Salvador","Americas"
"gnq","Equatorial Guinea","Africa"
"eri","Eritrea","Africa"
"est","Estonia","Europe"
"eth","Ethiopia","Africa"
"flk","Falkland Islands (Malvinas)","Americas"
"fro","Faroe Islands (Denmark)","Europe"
"fji","Fiji","Oceania"
"fin","Finland","Europe"
"fra","France","Europe"
"guf","French Guiana (France)","Americas"
"pyf","French Polynesia (France)","Oceania"
"atf","French Southern and Antarctic Territories (France)","Asia"
"gab","Gabon","Africa"
"gli","Galapagos Islands (Ecuador)","Americas"
"gmb","Gambia (the)","Africa"
"geo","Georgia","Asia"
"deu","Germany","Europe"
"gha","Ghana","Africa"
"gib","Gibraltar","Europe"
"grc","Greece","Europe"
"grl","Greenland (Denmark)","Americas"
"grd","Grenada","Americas"
"glp","Guadeloupe (France)","Americas"
"gum","Guam","Oceania"
"gtm","Guatemala","Americas"
"gin","Guinea","Africa"
"gnb","Guinea-Bissau","Africa"
"guy","Guyana","Americas"
"hti","Haiti","Americas"
"hmd","Heard Island and McDonald Islands (Australia)","Oceania"
"vat","Holy See (the)","Europe"
"hnd","Honduras","Americas"
"hun","Hungary","Europe"
"isl","Iceland","Europe"
"ind","India","Asia"
"idn","Indonesia","Asia"
"irn","Iran (Islamic Republic of)","Asia"
"irq","Iraq","Asia"
"irl","Ireland","Europe"
"ilm","Isle of Man (The United Kingdom of Great Britain and Northern Ireland)","Europe"
"isr","Israel","Asia"
"ita","Italy","Europe"
"jam","Jamaica","Americas"
"jpn","Japan","Asia"
"jor","Jordan","Asia"
"kaz","Kazakhstan","Asia"
"ken","Kenya","Africa"
"kir","Kiribati","Oceania"
"kwt","Kuwait","Asia"
"kgz","Kyrgyzstan","Asia"
