"Data Name","Data Access","Access","DataType","DataCategory(s)","DataIndicator(s)","Cluster(s)","DataFormat(s)","Region","Country(s)","Source","Resolution","Point of Contact","Processing Instructions","Notes"
"Active Hazards","http://www.pdc.org","Public","Natural Disaster","Incidents",,,"web service","World",,"PDC",,"Todd Bosse
Sr. Geospatial Information Analyst
Pacific Disaster Center
1305 N.Holopono Street
Kihei, HI USA 96753
+1.808.891.7943
tbosse@pdc.org

Chris Chiesa
Chief Information Officer
+1.808.891.0525 ext. 953
+1.808.283.8679
info@pdc.org","1) Open ArcCatalog and under 'GIS Servers' double click on 'Add ArcIMS Server'
2) Type in the URL www.pdc.org
3) Select 'Get List'
4) Chose the service you want
5) Preview in ArcCatalog or drag to ArcMap
Note: With the WFS, you can get the attribute information associated with the disaster:-)","Email from Todd on 22 Oct 2009 - Thanks for your note, I think we have just the thing to help you. As part of its Global Hazards Information Network (GHIN, http://ghin.pdc.org), Pacific Disaster Center (PDC) publishes various mapservices for public consumption, one of them being active hazards. GHIN is a metadata explorer containing geospatial data and services, of both PDC's data holdings and those and its partners. It has been designed to facilitate data sharing relationships/partnerships around the globe (focused towards hazards and related basedata). I've recently met with your colleagues in Bangkok and happy to report that UN OCHA ROAP is now a GHIN partner. In the coming months we will be working with OCHA ROAP to catalog and ingest metadata on their data holdings into GHIN so that it can be found by GHIN users. I should add that GHIN partners retain full control over the release of their data, which is specified in the metadata.  To find services in GHIN, choose 'Live Data and Maps' as your Content Type and click 'Start Search'. You will be presented with a list of all the services that we are currently publishing. Services are available as ArcIMS Image, WMS, and WFS. The metadata record for each service has connection information, as does the Geospatial Information Services link on GHIN.  The service you are looking for is called 'PDC Active Hazards'. You can simply add a connection to http://www.pdc.org in the GIS Servers section of ArcCatalog. Then select the service and drag into ArcMap. The Active Hazards service has near-real time feeds for tropical storms, earthquakes, volcanoes, tsunami's, and more. Please see the metadata for that service for data sources and data refresh rates."
"Afghanistan Datasets","http://www.aims.org.af/sroot.aspx?seckeyo=44&seckeyz=37","Public","Baseline",,,,"shapefile","Asia","Afghanistan","AIMS","1:500,000","Ali.Wali@aims.org.af",,
"Africa Data Dissemination Service","http://earlywarning.cr.usgs.gov/adds/index.php","Public","Baseline","LandCover",,,,"Africa",,"USAID",,,,
"Aid Workers Fatalities Data","http://www.patronusanalytical.com/aid%20worker%20fatalities/Fatal%20Incidents%20Aid%20Workers%20DB/Fatal%20Incidents%20data.html","Public","Complex Emergency","Incidents",,,"spreadsheet","World",,"Patronus Analytical",,,,
"Armed Conflict Location and Event Data","http://www.acleddata.com/","Public","Complex Emergency","Incidents",,,,"World",,"ACLED",,"Dr. Clionadh Raleigh
clionadh@gmail.com",,
"ASTER DEM","http://www.gdem.aster.ersdac.or.jp/","Public","Baseline","Elevation",,,"image file","World",,"NASA","30-metre",,"http://www.echo.nasa.gov/reference/astergdem_tutorial.htm",
"Average Precipitation (Annual and Monthly)","http://www.worldclim.org/download","Public","Baseline","Climate",,,"shapefile","World",,"WORLDCLIM","1-kilometre",,"Click on Current Conditions.  Then select 'Precipitation' under ESRI Grids - 30 arc-seconds.  This will give you the monthly precipitation averages.  For the annual data click on Bioclim and use Bio_12 'Annual Percipitation'","This map shows the average amount of precipitation falling in a year, based on approximately 50 years of data. The figures shown do not therefore represent the amount of precipitation that may occur in any given year."
"CE-DAT Complex Emergency Database","http://www.cedat.be/","Public","Complex Emergency","Incidents",,,,"World",,"CRED",,,,
"Climate Change Index","http://www.igbp.net/page.php?pid=504","Public","Natural Disaster","Climate",,,,"World",,"IGBP",,,,
"CMEInfo","http://www.childmortality.org/cmeMain.html","Public",,,,,,"World",,"UNICEF",,,,
