"ShortName","Organization","Area of Interest","Sector","Website"
"ACLED","Armed Conflict Location and Events Database","wrl","Academic","http://www.acleddata.com/"
"AGRC","Agrhymet Regional Centre","ner","UN and International",
"AIMS","Afghanistan Information Management Services","afg","Government",
"Bartholomew","Bartholomew","wrl","Commercial",
"CENACARTA","Centro Nacional de Cartografia e Teledeccão","moz","Government","http://www.cenacarta.com/"
"CEPREDENAC","Centro de Coordinacion para la Prevencion de los Desastres Naturales en America Central","ama","Government","http://www.sica.int/cepredenac/"
"CIESIN","Center for International Earth Science Information Network","wrl","Academic","http://www.ciesin.org"
"CGIAR-CSI","Consultative Group for International Agriculture Research - Consortium for Spatial Information","wrl","Academic","http://www.cgiar.org/"
"CNIDAH","Comissao Nacional Intersectorial de Desminagem e Assistencia Humanitaria","ago","Government",
"CONRED","Coordinadora Nacional Para La Reducción de Desastres","gtm","Government","http://www.conred.org/principal.php"
"CRED","Centre for Research on the Epidemiology of Disasters","wrl","Academic","http://www.cred.be"
"DANE","Departamento Administrativo Nacional de Estadística","col","Government",
"DCW","Digital Chart of the World","wrl","Government",
"DEPHA","Data Exchange Platform for the Horn of Africa","afr","UN and International",
"DFO","Dartmouth Flood Observatory","wrl","Academic","http://www.dartmouth.edu/~floods/"
"DigitalGlobe","DigitalGlobe","wrl","Commercial",
"ESRI","Environmental Systems Research Institute","wrl","Commercial",
"Europa Technologies","Europa Technologies","wrl","Commercial",
"EUSC","European Union Satellite Centre","wrl","Government",
"Falling Rain","Falling Rain","wrl","Other","http://www.fallingrain.com/world"
"FAO","Food and Agriculture Organization","wrl","UN and International",
"FEWS","Famine Early Warning System","wrl","Government",
"FSAU","Food Security Analysis Unit","wrl","UN and International",
"GTZ","Deutsche Gesellschaft für Technische Zusammenarbeit GmbH","wrl","Commercial",
"HDPT CAR","Humanitarian and Development Partnership Team Central African Republic","car","Other","http://hdptcar.net/"
"Indonesia NDMA","Indonesia National Disaster Management Agency","idn","Government","http://dibi.bnpb.go.id"
"IGAC","Instituto Geográfico Agustín Codazzi","col","Government","http://www.igac.gov.co"
"International Charter","International Charter for Space and Major Disasters","wrl","Other","http://www.disastercharter.org"
"IGBP","International Geosphere-Biosphere Programme","wrl","Academic","http://www.igbp.net"
"IGN","Institut Géographique National","wrl","Government",
"IGNIAOG","Instituto Geográfico Nacional (I.G.N.) ""Ing. Alfredo Obiols Gómez""","gtm","Government","http://www.ign.gob.gt/"
"INE","Insitituto Nacional de Estadística","gtm","Government","http://www.ine.gob.gt/"
"INEGI","Instituto Nacional de Estadística Geografia e Informática","mex","Government","http://www.inegi.gob.mx"
"INSP","Instituto Nacional de Salud Pública","mex","Government","http://www.insp.mx/"
"ISCGM","International Steering Committee for Global Mapping","wrl","UN and International","http://www.iscgm.org/"
"IRI","International Research Institute for Climate and Society","wrl","Academic","http://portal.iri.columbia.edu"
"ITHACA","Information Technology for Humanitarian Assistance, Coorperation and Action","wrl","Academic","http://www.ithaca.polito.it/"
"ITOS","University of Georgia Information Technology Outreach Services","wrl","Academic","https://www.itos.uga.edu/"
"JHIC","United Nations Joint Humanitarian Information Centre","irq","UN and International",
